AccelX_mean,AccelX_std,AccelX_min,AccelX_max,AccelX_range,AccelX_median,AccelY_mean,AccelY_std,AccelY_min,AccelY_max,AccelY_range,AccelY_median,AccelZ_mean,AccelZ_std,AccelZ_min,AccelZ_max,AccelZ_range,AccelZ_median,GyroX_mean,GyroX_std,GyroX_min,GyroX_max,GyroX_range,GyroX_median,GyroY_mean,GyroY_std,GyroY_min,GyroY_max,GyroY_range,GyroY_median,GyroZ_mean,GyroZ_std,GyroZ_min,GyroZ_max,GyroZ_range,GyroZ_median,label
12.375,4.796833891705589,2,19,17,11.5,-2.95,7.867329394074701,-19,14,33,-1.0,1.425,7.493202047394486,-17,19,36,2.0,10.5,171.82638823041032,-716,400,1116,0.0,-57.05,329.6640053300578,-1137,808,1945,-10.5,-27.65,170.6732595882013,-415,253,668,6.0,badminton
8.175,6.800782383346863,-5,19,24,9.0,-4.425,5.710482937949766,-19,11,30,-4.0,0.675,7.036124734685371,-19,12,31,1.0,3.175,111.72605864115667,-183,290,473,0.0,-53.45,228.9010479303005,-702,219,921,22.0,-136.75,145.1599913093242,-449,127,576,-142.0,badminton
9.125,6.805682015221376,-4,19,23,9.0,-5.15,4.627398892771241,-19,4,23,-5.0,-0.325,8.103141207945066,-19,14,33,1.0,40.25,141.67256397981714,-276,489,765,57.0,-39.475,249.62361281922645,-614,315,929,16.5,-123.4,147.5672467307441,-400,197,597,-158.0,badminton
7.825,6.291579639404905,-3,19,22,7.0,-5.2,5.378971401051816,-16,5,21,-4.0,0.95,7.659249477860254,-19,14,33,3.5,55.675,106.30324005482545,-121,426,547,41.5,-44.45,242.83992300511093,-673,259,932,14.0,-123.075,145.77263425429308,-398,205,603,-148.0,badminton
9.375,6.526818441963815,-4,19,23,9.0,-4.375,4.32457201083796,-17,4,21,-4.0,-1.25,7.451552927118013,-19,10,29,0.0,-10.95,93.46546050650105,-309,178,487,0.0,-17.475,265.30031241826833,-671,304,975,0.0,-89.9,117.57175659450678,-311,183,494,-81.0,badminton
8.65,5.695477288029647,0,19,19,9.0,-4.25,4.887188904126316,-15,2,17,-3.0,-0.25,7.16025354084831,-19,10,29,1.5,21.225,115.41730028521809,-206,251,457,0.0,-47.975,248.23081561424405,-707,287,994,0.0,-121.4,135.60213295349917,-377,129,506,-130.5,badminton
8.125,6.976838972721246,-5,19,24,9.0,-4.625,4.210411393505877,-15,5,20,-4.0,-0.8,7.19401460617409,-19,8,27,1.0,9.3,99.72017258565499,-188,243,431,0.0,-64.35,265.4371865432574,-771,315,1086,0.0,-126.875,147.36596474119307,-352,176,528,-119.5,badminton
8.6,6.1302110224271384,-3,19,22,8.0,-5.825,5.022449601539074,-19,4,23,-5.0,-0.225,7.764110396974676,-19,18,37,3.0,35.375,89.84850140724777,-153,205,358,0.0,-51.475,244.62519604174366,-741,335,1076,0.0,-118.375,148.47993691629406,-453,167,620,-101.5,badminton
9.4,5.261373516682815,0,19,19,9.0,-4.875,4.386386282053214,-16,3,19,-4.0,-0.425,7.5714968204816735,-19,11,30,1.0,20.975,120.05116163643068,-188,369,557,0.0,-96.875,241.78929028688574,-802,104,906,0.0,-86.85,152.52583639905328,-400,204,604,-46.5,badminton
9.825,5.578748596005729,-1,19,20,9.0,-4.675,4.034387444368978,-14,4,18,-4.0,-1.125,7.453058226196608,-19,15,34,0.0,18.275,72.53363057301463,-123,160,283,11.0,-73.7,250.74332570302917,-723,214,937,0.0,-95.825,139.68809348523038,-322,118,440,-43.5,badminton
9.7,5.761054034614117,-2,19,21,9.0,-5.15,4.486732578477263,-19,2,21,-4.0,-1.35,6.822098331233994,-17,10,27,0.0,8.35,82.13233536689745,-197,217,414,0.0,-16.275,290.31371073551736,-744,313,1057,17.5,-114.525,135.41010595547067,-371,134,505,-117.5,badminton
8.225,6.362903304430962,-4,19,23,8.0,-5.175,4.24196072226403,-14,1,15,-4.0,0.65,6.355090832331155,-19,10,29,3.0,25.975,89.97620411915757,-143,258,401,0.0,-63.25,239.757329237454,-647,275,922,0.0,-115.725,140.14333093347042,-362,172,534,-92.0,badminton
9.025,5.894314948995237,-2,19,21,9.0,-4.75,4.839739344538807,-17,2,19,-3.0,0.425,7.128446085209847,-19,11,30,2.0,13.1,122.64620788141926,-152,323,475,0.0,-80.225,241.82261855780538,-733,323,1056,0.0,-108.1,154.06854951195572,-386,214,600,-92.0,badminton
9.6,5.550698731714451,0,19,19,8.0,-4.425,5.8829937433772095,-17,12,29,-3.5,0.2,7.6634329858233325,-19,10,29,2.5,22.05,132.31682064515087,-227,517,744,0.0,-29.225,264.5867108607357,-728,306,1034,16.5,-118.5,143.15582329611934,-333,195,528,-143.0,badminton
9.175,5.578748596005729,-2,19,21,9.0,-4.8,5.849391815854415,-16,8,24,-3.5,0.65,7.471484251678304,-19,10,29,2.0,31.925,111.86424636757097,-208,442,650,23.0,-44.4,244.18601568560445,-728,211,939,0.0,-104.05,149.8440129105204,-367,182,549,-81.0,badminton
8.525,6.444984135963447,-3,19,22,8.0,-4.725,5.3779583391316725,-15,5,20,-4.0,0.35,7.343407998037493,-19,12,31,2.0,26.8,103.33495449514079,-110,304,414,0.0,-41.175,256.94286379740197,-752,300,1052,26.5,-113.85,137.7631840216931,-308,229,537,-146.0,badminton
9.075,5.898228764985515,-2,19,21,8.0,-4.825,5.723937590370945,-16,4,20,-3.5,0.375,6.938142439646256,-18,10,28,2.5,28.0,104.73874702422752,-196,352,548,24.0,-16.125,260.7916141781423,-756,280,1036,12.0,-93.125,129.38972881599577,-283,167,450,-87.5,badminton
8.925,6.174336879166531,-2,19,21,8.0,-4.9,5.5967023257519175,-17,9,26,-4.5,-0.475,7.267728104082581,-19,10,29,0.0,-0.525,91.20475344674777,-188,157,345,0.0,-33.0,248.87583146456686,-709,281,990,34.5,-97.625,130.19880016383624,-324,189,513,-113.5,badminton
10.55,5.601968518480917,0,19,19,9.5,-5.675,6.215726539211358,-19,8,27,-4.5,1.075,6.474357705001144,-16,17,33,2.0,38.8,127.37229904536765,-138,577,715,0.0,-10.0,316.39548442432385,-1018,334,1352,14.0,-124.3,165.8394651617286,-493,157,650,-94.0,badminton
9.85,5.780382384654194,-2,19,21,9.0,-4.725,5.817689646286817,-19,5,24,-3.0,0.25,7.7484489763088416,-19,12,31,2.0,26.725,108.50546187363221,-180,393,573,0.0,-27.6,264.60883563750457,-849,318,1167,0.0,-116.575,162.97992443620402,-401,240,641,-108.0,badminton
11.75,5.614769899616637,2,19,17,9.5,-4.85,5.881522565824915,-19,8,27,-3.0,-2.0,8.271049293182601,-19,11,30,0.0,24.475,126.31340499745576,-241,353,594,21.0,-18.35,290.95171420701405,-862,428,1290,0.0,-110.575,180.26887148268563,-542,216,758,-66.0,badminton
11.25,5.601053014549574,0,19,19,9.0,-1.775,6.103750423368344,-16,10,26,0.0,2.95,2.763776680280362,-3,11,14,3.0,17.375,79.05165059338395,0,432,432,0.0,-30.2,167.82869776909965,-698,209,907,0.0,-39.8,229.00366137482806,-470,492,962,0.0,badminton
11.225,5.757882000198087,-2,19,21,9.0,-0.175,6.979411113208584,-19,16,35,0.5,2.575,5.90908687466242,-15,15,30,3.0,23.15,102.39054193099612,0,491,491,0.0,-38.075,168.6929219708904,-609,295,904,0.0,-23.4,247.84877523323652,-396,616,1012,0.0,badminton
